h,DT
1,18.00257248
2,18.74005917
3,16.53250268
4,15.64616806
5,13.09000743
6,12.75414798
7,12.56743773
8,26.23145305
9,29.73223739
10,30.17813769
11,29.13787102
12,26.56676514
13,24.05278494
14,14.13134265
15,14.42077135
16,27.1820659
17,41.4652234
18,54.87927372
19,60.32528116
20,55.22065469
21,33.9450002
22,32.35796193
23,30.49564569
24,25.45748078
25,18.00257248
26,18.74005917
27,16.53250268
28,15.64616806
29,13.09000743
30,12.75414798
31,12.56743773
32,26.23145305
33,29.73223739
34,30.17813769
35,29.13787102
36,26.56676514
37,24.05278494
38,14.13134265
39,14.42077135
40,27.1820659
41,41.4652234
42,54.87927372
43,60.32528116
44,55.22065469
45,33.9450002
46,32.35796193
47,30.49564569
48,25.45748078
49,18.00257248
50,18.74005917
51,16.53250268
52,15.64616806
53,13.09000743
54,12.75414798
55,12.56743773
56,26.23145305
57,29.73223739
58,30.17813769
59,29.13787102
60,26.56676514
61,24.05278494
62,14.13134265
63,14.42077135
64,27.1820659
65,41.4652234
66,54.87927372
67,60.32528116
68,55.22065469
69,33.9450002
70,32.35796193
71,30.49564569
72,25.45748078
73,18.00257248
74,18.74005917
75,16.53250268
76,15.64616806
77,13.09000743
78,12.75414798
79,12.56743773
80,26.23145305
81,29.73223739
82,30.17813769
83,29.13787102
84,26.56676514
85,24.05278494
86,14.13134265
87,14.42077135
88,27.1820659
89,41.4652234
90,54.87927372
91,60.32528116
92,55.22065469
93,33.9450002
94,32.35796193
95,30.49564569
96,25.45748078
97,18.00257248
98,18.74005917
99,16.53250268
100,15.64616806
101,13.09000743
102,12.75414798
103,12.56743773
104,26.23145305
105,29.73223739
106,30.17813769
107,29.13787102
108,26.56676514
109,24.05278494
110,14.13134265
111,14.42077135
112,27.1820659
113,41.4652234
114,54.87927372
115,60.32528116
116,55.22065469
117,33.9450002
118,32.35796193
119,30.49564569
120,25.45748078
121,18.00257248
122,18.74005917
123,16.53250268
124,15.64616806
125,13.09000743
126,12.75414798
127,12.56743773
128,26.23145305
129,29.73223739
130,30.17813769
131,29.13787102
132,26.56676514
133,24.05278494
134,14.13134265
135,14.42077135
136,27.1820659
137,41.4652234
138,54.87927372
139,60.32528116
140,55.22065469
141,33.9450002
142,32.35796193
143,30.49564569
144,25.45748078
145,18.00257248
146,18.74005917
147,16.53250268
148,15.64616806
149,13.09000743
150,12.75414798
151,12.56743773
152,26.23145305
153,29.73223739
154,30.17813769
155,29.13787102
156,26.56676514
157,24.05278494
158,14.13134265
159,14.42077135
160,27.1820659
161,41.4652234
162,54.87927372
163,60.32528116
164,55.22065469
165,33.9450002
166,32.35796193
167,30.49564569
168,25.45748078
169,18.00257248
170,18.74005917
171,16.53250268
172,15.64616806
173,13.09000743
174,12.75414798
175,12.56743773
176,26.23145305
177,29.73223739
178,30.17813769
179,29.13787102
180,26.56676514
181,24.05278494
182,14.13134265
183,14.42077135
184,27.1820659
185,41.4652234
186,54.87927372
187,60.32528116
188,55.22065469
189,33.9450002
190,32.35796193
191,30.49564569
192,25.45748078
193,18.00257248
194,18.74005917
195,16.53250268
196,15.64616806
197,13.09000743
198,12.75414798
199,12.56743773
200,26.23145305
201,29.73223739
202,30.17813769
203,29.13787102
204,26.56676514
205,24.05278494
206,14.13134265
207,14.42077135
208,27.1820659
209,41.4652234
210,54.87927372
211,60.32528116
212,55.22065469
213,33.9450002
214,32.35796193
215,30.49564569
216,25.45748078
217,18.00257248
218,18.74005917
219,16.53250268
220,15.64616806
221,13.09000743
222,12.75414798
223,12.56743773
224,26.23145305
225,29.73223739
226,30.17813769
227,29.13787102
228,26.56676514
229,24.05278494
230,14.13134265
231,14.42077135
232,27.1820659
233,41.4652234
234,54.87927372
235,60.32528116
236,55.22065469
237,33.9450002
238,32.35796193
239,30.49564569
240,25.45748078
241,18.00257248
242,18.74005917
243,16.53250268
244,15.64616806
245,13.09000743
246,12.75414798
247,12.56743773
248,26.23145305
249,29.73223739
250,30.17813769
251,29.13787102
252,26.56676514
253,24.05278494
254,14.13134265
255,14.42077135
256,27.1820659
257,41.4652234
258,54.87927372
259,60.32528116
260,55.22065469
261,33.9450002
262,32.35796193
263,30.49564569
264,25.45748078
265,18.00257248
266,18.74005917
267,16.53250268
268,15.64616806
269,13.09000743
270,12.75414798
271,12.56743773
272,26.23145305
273,29.73223739
274,30.17813769
275,29.13787102
276,26.56676514
277,24.05278494
278,14.13134265
279,14.42077135
280,27.1820659
281,41.4652234
282,54.87927372
283,60.32528116
284,55.22065469
285,33.9450002
286,32.35796193
287,30.49564569
288,25.45748078
289,18.00257248
290,18.74005917
291,16.53250268
292,15.64616806
293,13.09000743
294,12.75414798
295,12.56743773
296,26.23145305
297,29.73223739
298,30.17813769
299,29.13787102
300,26.56676514
301,24.05278494
302,14.13134265
303,14.42077135
304,27.1820659
305,41.4652234
306,54.87927372
307,60.32528116
308,55.22065469
309,33.9450002
310,32.35796193
311,30.49564569
312,25.45748078
313,18.00257248
314,18.74005917
315,16.53250268
316,15.64616806
317,13.09000743
318,12.75414798
319,12.56743773
320,26.23145305
